epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2319.41,0.7504,1.25936,0.855,1.01025,0.58543,0.81605,0.68352,0.57064,0.60405,0.80277,0.68571,0.54314,0.66225,1.12109,0.74721,0.95928,0.000267436,0.000267436,0.000267436
30,2398.59,0.74379,1.25006,0.84355,1.00321,0.60427,0.82603,0.68839,0.57351,0.6064,0.8278,0.68799,0.55087,0.66373,1.0769,0.72826,0.95743,0.000263773,0.000263773,0.000263773
31,2477.76,0.74244,1.24043,0.8294,1.00368,0.61631,0.82023,0.68477,0.57351,0.62133,0.8208,0.68667,0.55314,0.64274,1.07178,0.71244,0.94355,0.00026011,0.00026011,0.00026011
32,2557.41,0.73245,1.22108,0.82493,0.9974,0.60033,0.80228,0.68589,0.57638,0.60335,0.80656,0.68779,0.55231,0.63904,1.06921,0.75088,0.94505,0.000256447,0.000256447,0.000256447
33,2637.33,0.73318,1.23225,0.82307,0.99851,0.59675,0.79339,0.68278,0.57522,0.60105,0.79479,0.68499,0.55065,0.64462,1.08031,0.76479,0.94517,0.000252784,0.000252784,0.000252784
34,2716.67,0.72478,1.21841,0.82067,0.9971,0.60731,0.82005,0.68532,0.57792,0.61139,0.82144,0.68962,0.55449,0.62852,1.0629,0.70603,0.93713,0.000249121,0.000249121,0.000249121
35,2796.87,0.73148,1.22735,0.80809,0.99696,0.59245,0.84788,0.6847,0.57141,0.59413,0.8497,0.68776,0.55156,0.64204,1.07647,0.70341,0.94767,0.000245458,0.000245458,0.000245458
36,2876.37,0.72643,1.20186,0.80961,0.99697,0.61077,0.83797,0.69075,0.58329,0.61343,0.83695,0.69278,0.56264,0.6351,1.05929,0.72384,0.93776,0.000241795,0.000241795,0.000241795
37,2956.12,0.72022,1.19455,0.78568,0.9898,0.59977,0.83812,0.69666,0.58594,0.59828,0.84934,0.70092,0.56299,0.6293,1.0483,0.68964,0.93942,0.000238132,0.000238132,0.000238132
38,3036.7,0.71692,1.18576,0.78874,0.99297,0.59544,0.82374,0.68469,0.57729,0.59806,0.82594,0.688,0.55661,0.62701,1.05185,0.70422,0.9408,0.000234469,0.000234469,0.000234469
39,3116.41,0.71306,1.18136,0.78587,0.98997,0.59908,0.80796,0.67628,0.57169,0.6023,0.8094,0.68092,0.54727,0.62778,1.05041,0.73038,0.93602,0.000230806,0.000230806,0.000230806
